job_sector,pct_cases
Food manufacturing,30
Service industry,15
Transportation,11
Healthcare worker,9
Farming,8
Food prep,6
Manufacturing,3
Educator,3
Mechanical technician,3
Retired,3
Management,2
Homemaker,2
Unemployed,2
Temporary foreign worker,2
"Home care, child care, student, odd jobs",3
